districtid,monthid,dose 1,dose 2
AS_Kamrup Metropolitan,12,70592,17710
AS_Kamrup Metropolitan,13,183143,49807
AS_Kamrup Metropolitan,14,266274,26330
AS_Kamrup Metropolitan,15,264971,60368
AS_Kamrup Metropolitan,16,191915,148784
AS_Karbi Anglong,10,2255,0
AS_Karbi Anglong,11,8382,1422
AS_Karbi Anglong,12,15042,4143
AS_Karbi Anglong,13,19463,7584
AS_Karbi Anglong,14,14403,2559
AS_Karbi Anglong,15,38988,8934
AS_Karbi Anglong,16,51430,12608
AS_Karimganj,10,2628,46
AS_Karimganj,11,11959,1376
AS_Karimganj,12,22578,3676
AS_Karimganj,13,29389,14686
AS_Karimganj,14,31375,4968
AS_Karimganj,15,83443,10824
AS_Karimganj,16,102071,24923
AS_Kokrajhar,10,3393,36
AS_Kokrajhar,11,11357,2407
AS_Kokrajhar,12,12889,8220
AS_Kokrajhar,13,28414,7905
AS_Kokrajhar,14,24138,1420
AS_Kokrajhar,15,62287,7338
AS_Kokrajhar,16,118741,23804
AS_Lakhimpur,10,4606,0
AS_Lakhimpur,11,9764,2309
AS_Lakhimpur,12,23129,6037
AS_Lakhimpur,13,43436,17755
AS_Lakhimpur,14,31150,4096
AS_Lakhimpur,15,124790,10536
AS_Lakhimpur,16,200789,31154
AS_Majuli,10,1125,76
AS_Majuli,11,2472,791
AS_Majuli,12,10938,1582
AS_Majuli,13,13159,6563
AS_Majuli,14,12795,1395
AS_Majuli,15,32628,3721
AS_Majuli,16,29012,14244
AS_Morigaon,10,3533,68
AS_Morigaon,11,8678,1935
AS_Morigaon,12,24313,3619
AS_Morigaon,13,25389,10729
AS_Morigaon,14,29771,2858
AS_Morigaon,15,100224,10713
AS_Morigaon,16,161768,21254
AS_Nagaon,10,8867,146
AS_Nagaon,11,19206,4688
AS_Nagaon,12,48250,12298
AS_Nagaon,13,69226,21085
AS_Nagaon,14,72462,9888
AS_Nagaon,15,171516,25011
AS_Nagaon,16,217827,59156
AS_Nalbari,10,3326,86
AS_Nalbari,11,5422,2278
AS_Nalbari,12,16732,4301
AS_Nalbari,13,31072,7357
AS_Nalbari,14,27856,2749
AS_Nalbari,15,60985,9061
AS_Nalbari,16,121165,25523
AS_Sivasagar,10,3648,70
AS_Sivasagar,11,9647,2542
AS_Sivasagar,12,21921,5820
AS_Sivasagar,13,34181,12569
AS_Sivasagar,14,26556,3802
AS_Sivasagar,15,96220,14625
AS_Sivasagar,16,156616,26101
AS_Sonitpur,10,5322,53
AS_Sonitpur,11,14801,3267
AS_Sonitpur,12,28923,10424
AS_Sonitpur,13,65716,19776
AS_Sonitpur,14,51467,32868
AS_Sonitpur,15,188781,32936
AS_Sonitpur,16,214779,36257
AS_South Salmara Mankachar,10,495,0
AS_South Salmara Mankachar,11,1863,194
AS_South Salmara Mankachar,12,2935,848
AS_South Salmara Mankachar,13,3438,2033
AS_South Salmara Mankachar,14,9882,230
AS_South Salmara Mankachar,15,35009,1518
AS_South Salmara Mankachar,16,93479,3664
AS_Tinsukia,10,5001,119
AS_Tinsukia,11,10503,3302
AS_Tinsukia,12,34876,4857
AS_Tinsukia,13,36541,13737
AS_Tinsukia,14,71512,3320
AS_Tinsukia,15,117459,15650
AS_Tinsukia,16,126154,40938
AS_Udalguri,10,2236,41
AS_Udalguri,11,6124,1660
AS_Udalguri,12,17286,4898
AS_Udalguri,13,24045,8736
AS_Udalguri,14,21968,1728
AS_Udalguri,15,54897,5011
AS_Udalguri,16,95285,22424
AS_West Karbi Anglong,10,747,0
AS_West Karbi Anglong,11,3048,623
AS_West Karbi Anglong,12,5973,1472
AS_West Karbi Anglong,13,6819,4319
AS_West Karbi Anglong,14,7008,620
AS_West Karbi Anglong,15,24364,1862
AS_West Karbi Anglong,16,26243,4223
BR_Araria,10,9202,0
BR_Araria,11,18650,4580
BR_Araria,12,54148,4583
BR_Araria,13,63971,13639
BR_Araria,14,70861,7096
BR_Araria,15,137312,30292
BR_Araria,16,212973,43634
BR_Arwal,10,3783,2
BR_Arwal,11,3429,2741
BR_Arwal,12,22999,2401
BR_Arwal,13,9214,7342
BR_Arwal,14,16590,296
BR_Arwal,15,55265,6159
BR_Arwal,16,102682,9535
BR_Aurangabad,10,8879,3
BR_Aurangabad,11,10572,5515
BR_Aurangabad,12,49346,7236
BR_Aurangabad,13,50338,14059
BR_Aurangabad,14,77358,3840
BR_Aurangabad,15,147514,11867
BR_Aurangabad,16,197448,28843
BR_Banka,10,6721,0
BR_Banka,11,22628,3873
BR_Banka,12,78949,10930
BR_Banka,13,31958,22247
BR_Banka,14,47014,1114
BR_Banka,15,150291,11900
BR_Banka,16,149966,27678
BR_Begusarai,10,11016,0
BR_Begusarai,11,16286,8531
BR_Begusarai,12,126182,10583
BR_Begusarai,13,74505,29804
BR_Begusarai,14,83753,1471
BR_Begusarai,15,157115,17654
BR_Begusarai,16,245069,44486
BR_Bhagalpur,10,14774,0
BR_Bhagalpur,11,33320,10008
BR_Bhagalpur,12,124084,13289
BR_Bhagalpur,13,67606,33569
BR_Bhagalpur,14,106450,4920
BR_Bhagalpur,15,276855,40463
BR_Bhagalpur,16,270946,68739
BR_Bhojpur,10,9893,0
BR_Bhojpur,11,10198,6089
BR_Bhojpur,12,89867,6233
BR_Bhojpur,13,61985,30598
BR_Bhojpur,14,67547,1738
BR_Bhojpur,15,130655,14627
BR_Bhojpur,16,225935,40266
BR_Buxar,10,6932,0
BR_Buxar,11,11214,4453
BR_Buxar,12,66798,5418
BR_Buxar,13,37209,21219
BR_Buxar,14,46989,1037
BR_Buxar,15,102881,11110
BR_Buxar,16,140152,32555
BR_Darbhanga,10,17393,0
BR_Darbhanga,11,21283,12482
BR_Darbhanga,12,138473,10863
BR_Darbhanga,13,109342,53065
BR_Darbhanga,14,139103,3008
BR_Darbhanga,15,209236,32208
BR_Darbhanga,16,342514,73986
BR_East Champaran,10,19491,0
BR_East Champaran,11,15570,10926
BR_East Champaran,12,110500,8929
BR_East Champaran,13,155015,36009
BR_East Champaran,14,150425,1877
BR_East Champaran,15,335076,26535
BR_East Champaran,16,396507,123536
BR_Gaya,10,25120,13
BR_Gaya,11,26338,16028
BR_Gaya,12,143253,17167
BR_Gaya,13,73641,32514
BR_Gaya,14,117100,33815
BR_Gaya,15,276662,49262
BR_Gaya,16,293925,53629
BR_Gopalganj,10,9617,0
BR_Gopalganj,11,16702,6426
BR_Gopalganj,12,77202,6891
BR_Gopalganj,13,58192,24848
BR_Gopalganj,14,75277,2712
BR_Gopalganj,15,134143,7572
BR_Gopalganj,16,164258,36093
BR_Jamui,10,6728,0
BR_Jamui,11,14645,4371
BR_Jamui,12,60576,6031
BR_Jamui,13,36099,16346
BR_Jamui,14,48818,1440
BR_Jamui,15,93398,8805
BR_Jamui,16,124843,22479
BR_Jehanabad,10,5875,0
BR_Jehanabad,11,3917,3783
BR_Jehanabad,12,40509,2839
BR_Jehanabad,13,24064,8417
BR_Jehanabad,14,38002,1543
BR_Jehanabad,15,64505,14239
BR_Jehanabad,16,106089,22391
BR_Kaimur,10,6727,0
BR_Kaimur,11,7645,4052
BR_Kaimur,12,55704,3417
BR_Kaimur,13,33399,12466
BR_Kaimur,14,45452,2025
BR_Kaimur,15,76284,8542
BR_Kaimur,16,118243,15238
BR_Katihar,10,13089,0
BR_Katihar,11,13993,8996
BR_Katihar,12,63593,7712
BR_Katihar,13,54844,21686
BR_Katihar,14,87260,1144
BR_Katihar,15,159232,14053
BR_Katihar,16,234212,36384
BR_Khagaria,10,7024,3
BR_Khagaria,11,9270,4910
BR_Khagaria,12,49325,4747
BR_Khagaria,13,35506,12705
BR_Khagaria,14,36891,1160
