Dist code,Total,male,female
KA_Davanagere,1945497,986400,959097
KA_Dharwad,1847023,937206,909817
KA_Gadag,1064570,537147,527423
KA_Hassan,1776421,883667,892754
KA_Haveri,1597668,819128,778540
KA_Kodagu,554519,274608,279911
KA_Kolar,1536401,776396,760005
KA_Koppal,1389920,699926,689994
KA_Mandya,1805769,905085,900684
KA_Mysuru,3001127,1511600,1489527
KA_Raichur,1928812,964511,964301
KA_Ramanagara,1082636,548008,534628
KA_Shivamogga,1752753,877415,875338
KA_Udupi,1177361,562131,615230
KA_Uttara Kannada,1437169,726256,710913
KA_Yadgir,1174271,590329,583942
KL_Alappuzha,2127789,1013142,1114647
KL_Ernakulam,3282388,1619557,1662831
KL_Idukki,1108974,552808,556166
KL_Kannur,2523003,1181446,1341557
KL_Kasaragod,1307375,628613,678762
KL_Kollam,2635375,1246968,1388407
KL_Kottayam,1974551,968289,1006262
KL_Kozhikode,3086293,1470942,1615351
KL_Malappuram,4112920,1960328,2152592
KL_Palakkad,2809934,1359478,1450456
KL_Pathanamthitta,1197412,561716,635696
KL_Thiruvananthapuram,3301427,1581678,1719749
KL_Thrissur,3121200,1480763,1640437
KL_Wayanad,817420,401684,415736
LA_Kargil,140802,77785,63017
LA_Leh,133487,78971,54516
MH_Ahmednagar,4543159,2342825,2200334
MH_Akola,1813906,932334,881572
MH_Amravati,2888445,1480768,1407677
MH_Beed,2585049,1349106,1235943
MH_Bhandara,1200334,605520,594814
MH_Buldhana,2586258,1337560,1248698
MH_Chandrapur,2204307,1123834,1080473
MH_Dhule,2050862,1054031,996831
MH_Gadchiroli,1072942,541328,531614
MH_Gondia,1322507,661554,660953
MH_Hingoli,1177345,606294,571051
MH_Jalgaon,4229917,2197365,2032552
MH_Jalna,1959046,1011473,947573
MH_Kolhapur,3876001,1980658,1895343
MH_Latur,2454196,1273140,1181056
MH_Mumbai,3085411,1684608,1400803
MH_Nagpur,4653570,2384975,2268595
MH_Nanded,3361292,1730075,1631217
MH_Nandurbar,1648295,833170,815125
MH_Nashik,6107187,3157186,2950001
MH_Osmanabad,1657576,861535,796041
MH_Pune,9429408,4924105,4505303
MH_Ratnagiri,1615069,761121,853948
MH_Sangli,2822143,1435728,1386415
MH_Satara,3003741,1510842,1492899
MH_Sindhudurg,849651,417332,432319
MH_Solapur,4317756,2227852,2089904
MH_Thane,11060148,5865078,5195070
MH_Wardha,1300774,668385,632389
MH_Washim,1197160,620302,576858
MH_Yavatmal,2772348,1419965,1352383
ML_East Garo Hills,317917,161223,156694
ML_East Khasi Hills,825922,410749,415173
ML_Ribhoi,258840,132531,126309
ML_South Garo Hills,142334,73170,69164
ML_West Garo Hills,643291,324159,319132
ML_West Jaintia Hills,395124,196285,198839
ML_West Khasi Hills,383461,193715,189746
MN_Bishnupur,237399,118782,118617
MN_Chandel,144182,74579,69603
MN_Churachandpur,274143,138820,135323
MN_Imphal East,456113,226094,230019
MN_Imphal West,517992,255054,262938
MN_Senapati,479148,247323,231825
MN_Tamenglong,140651,72371,68280
MN_Thoubal,422168,210845,211323
MN_Ukhrul,183998,94718,89280
MP_Alirajpur,728999,362542,366457
MP_Anuppur,749237,379114,370123
MP_Ashoknagar,845071,443837,401234
MP_Balaghat,1701698,842178,859520
MP_Barwani,1385881,699340,686541
